,precision,recall,f1-score,support
0.0,0.9033468877072255,0.9730458221024259,0.9369018653690186,2968.0
1.0,0.0,0.0,0.0,1.0
2.0,0.7976539589442815,0.8343558282208589,0.815592203898051,326.0
3.0,0.8480243161094225,0.9058441558441559,0.8759811616954475,616.0
4.0,0.8235294117647058,0.23728813559322035,0.368421052631579,59.0
5.0,0.8791208791208791,0.6666666666666666,0.7582938388625592,120.0
6.0,1.0,0.043478260869565216,0.08333333333333333,23.0
7.0,1.0,0.16666666666666666,0.2857142857142857,18.0
8.0,1.0,0.08333333333333333,0.15384615384615385,12.0
9.0,0.0,0.0,0.0,2.0
10.0,0.6538461538461539,0.3541666666666667,0.4594594594594595,48.0
11.0,0.8181818181818182,0.4090909090909091,0.5454545454545455,22.0
12.0,1.0,0.125,0.2222222222222222,8.0
13.0,0.8888888888888888,0.32,0.47058823529411764,25.0
14.0,0.6666666666666666,0.36363636363636365,0.4705882352941177,33.0
15.0,0.7028301886792453,0.6930232558139535,0.6978922716627635,215.0
16.0,0.7472527472527473,0.5573770491803278,0.6384976525821596,122.0
17.0,0.0,0.0,0.0,11.0
19.0,0.0,0.0,0.0,4.0
20.0,0.7857142857142857,0.23404255319148937,0.36065573770491804,47.0
21.0,0.0,0.0,0.0,1.0
22.0,0.8165137614678899,0.7416666666666667,0.777292576419214,120.0
accuracy,0.8708602374505311,0.8708602374505311,0.8708602374505311,0.8708602374505311
macro avg,0.6514349983792823,0.3503946515246941,0.40548794688381573,4801.0
weighted avg,0.8642834532358544,0.8708602374505311,0.8558936474190171,4801.0
