,precision,recall,f1-score,support
0,0.6548067860508954,0.9363207547169812,0.7706600110926235,2968.0
ARG-UNDEF,0.0,0.0,0.0,1.0
ARG0,0.4513888888888889,0.19938650306748465,0.276595744680851,326.0
ARG1,0.5640243902439024,0.3003246753246753,0.39194915254237284,616.0
ARG2,0.0,0.0,0.0,59.0
ARG2-ATR,0.4,0.03333333333333333,0.06153846153846154,120.0
ARG2-GOL,0.0,0.0,0.0,23.0
ARG2-LOC,0.0,0.0,0.0,18.0
ARG2-SOU,0.0,0.0,0.0,12.0
ARG3,0.0,0.0,0.0,2.0
ARGM-ADV,0.0,0.0,0.0,48.0
ARGM-CAU,0.8,0.18181818181818182,0.2962962962962963,22.0
ARGM-DIR,0.0,0.0,0.0,8.0
ARGM-DIS,0.0,0.0,0.0,25.0
ARGM-EXT,0.5,0.030303030303030304,0.05714285714285715,33.0
ARGM-LOC,0.30303030303030304,0.046511627906976744,0.08064516129032258,215.0
ARGM-MNR,0.2,0.00819672131147541,0.015748031496062992,122.0
ARGM-MNS,0.0,0.0,0.0,11.0
ARGM-NEG,0.0,0.0,0.0,4.0
ARGM-PRP,0.0,0.0,0.0,47.0
ARGM-PRX,0.0,0.0,0.0,1.0
ARGM-TMP,0.5666666666666667,0.14166666666666666,0.22666666666666666,120.0
accuracy,0.6386169548010832,0.6386169548010832,0.6386169548010832,0.6386169548010832
macro avg,0.2018144106763935,0.08535734065676387,0.0989655628521143,4801.0
weighted avg,0.5577400246445728,0.6386169548010832,0.5584625330897215,4801.0
